Age group,accuracy,selection_rate,true_positive_rate,false_positive_rate,recall
30-59,0.8730364792937817,0.19927301051538363,0.863102998696219,0.1258650519031142,0.863102998696219
60+,0.6528189910979229,0.6201780415430267,0.9107142857142857,0.47555555555555556,0.9107142857142857
<30,0.8015952143569293,0.34496510468594216,0.9106145251396648,0.2220873786407767,0.9106145251396648
