group,n,positive_outcome_rate,selection_rate,true_positive_rate,false_positive_rate,accuracy
30-59,7703,0.09957159548227963,0.164221731792808,0.5684485006518905,0.11952133794694349,0.8494093210437492
60+,337,0.3323442136498516,0.7359050445103857,0.9196428571428571,0.6444444444444445,0.543026706231454
<30,1003,0.17846460618145563,0.4117647058823529,0.7541899441340782,0.33737864077669905,0.678963110667996
